time,mode,cmd_vx,cmd_vy,cmd_vz,cmd_yaw_rate,pos_x,pos_y,pos_z,roll,pitch,yaw,vel_x,vel_y,vel_z,target_yaw
0.218,hover,0.0,0.0,0.0,0.0,-0.0007076003703092508,6.272496731364782e-05,0.2840335256379538,-0.00037481037480646565,0.00039012763612632776,-9.814341094066858e-05,-0.006051989898313531,0.0005663591620163928,0.36544200250411496,0.0
0.22,hover,0.0,0.0,0.0,0.0,-0.0007197776637853895,6.387000576479501e-05,0.284762836093514,-0.00037375770772515464,0.00041309922543270516,-9.959050580523527e-05,-0.0060886467380693475,0.0005725192255735956,0.3646552277800915,0.0
0.222,hover,0.0,0.0,0.0,0.0,-0.0007320272088959778,6.502760902967622e-05,0.2854905828631823,-0.0003726477000319617,0.00043619894431376553,-0.00010085978236872279,-0.00612477255529415,0.000578801632440601,0.3638733848341603,0.0
0.224,hover,0.0,0.0,0.0,0.0,-0.0007443478800990525,6.619753513164798e-05,0.28621679489351065,-0.00037148381893089264,0.00045942563402929766,-0.00010227267070163445,-0.006160335601537367,0.0005849630509858834,0.36310601516417007,0.0
0.226,hover,0.0,0.0,0.0,0.0,-0.0007567386927572989,6.738002094780262e-05,0.28694149216509307,-0.0003702649434014801,0.0004827657667012794,-0.0001035187982746896,-0.006195406329123188,0.0005912429080773209,0.3623486357912121,0.0
0.228,hover,0.0,0.0,0.0,0.0,-0.0007691984697888854,6.857480678115943e-05,0.2876646741818337,-0.0003689939832848202,0.0005062195561506405,-0.00010490367016845093,-0.006229888515793298,0.0005973929166784043,0.3615910083703247,0.0
0.23,hover,0.0,0.0,0.0,0.0,-0.0007817261176145806,6.97820948854475e-05,0.2883863309501423,-0.00036766932557144436,0.0005297767336542557,-0.00010612085287740556,-0.00626382391284758,0.000603644052144036,0.36082838415429636,0.0
0.232,hover,0.0,0.0,0.0,0.0,-0.0007943203967176794,7.100161171040166e-05,0.2891064561508213,-0.0003662936848536071,0.0005534392145355349,-0.00010747676352584193,-0.0062971395515493845,0.0006097584124770799,0.36006260033950616,0.0
0.234,hover,0.0,0.0,0.0,0.0,-0.0008069802271259453,7.223356476723834e-05,0.28982505319116875,-0.0003648656512380455,0.0005771961240233103,-0.00010866772664546802,-0.006329915204132991,0.0006159765284183451,0.35929852017370817,0.0
0.23600000000000002,hover,0.0,0.0,0.0,0.0,-0.0008197044118219945,7.347769633379867e-05,0.2905421302141829,-0.00036338812951747056,0.0006010478196765395,-0.00010999146855526189,-0.006362092348024575,0.0006220657832801619,0.3585385115070649,0.0
0.23800000000000002,hover,0.0,0.0,0.0,0.0,-0.0008324918885705976,7.47342062901674e-05,0.29125769442163535,-0.00036185989492424633,0.0006249829665287862,-0.00011115583013840673,-0.006393738374301594,0.0006282549781843573,0.35778210372620983,0.0
0.24,hover,0.0,0.0,0.0,0.0,-0.0008453414500496728,7.600283579171998e-05,0.2919717486419134,-0.000360283687345083,0.0006490020866456135,-0.00011244817098899383,-0.0064247807395375915,0.0006343147507762918,0.3570271101390269,0.0
0.242,hover,0.0,0.0,0.0,0.0,-0.0008582520031752343,7.728376942505443e-05,0.2926842936383459,-0.0003586582299623354,0.0006730948625268692,-0.00011358422751874351,-0.006455276562780735,0.0006404668166672218,0.35627249821625673,0.0
0.244,hover,0.0,0.0,0.0,0.0,-0.000871222328373987,7.857674588422406e-05,0.2933953299060198,-0.0003569861393417695,0.0006972620632264385,-0.00011484489964551496,-0.006485162599376358,0.0006464882295848129,0.355518133836943,0.0
0.246,hover,0.0,0.0,0.0,0.0,-0.0008842513286795646,7.988194244151565e-05,0.2941048596340464,-0.0003552662063997331,0.0007214935125489794,-0.0001159526774641003,-0.006514500152788816,0.0006525982786457926,0.3547648640133082,0.0
0.248,hover,0.0,0.0,0.0,0.0,-0.0008973377840968022,8.119910134743803e-05,0.2948128856206426,-0.00035350101590477304,0.000745789838242928,-0.00011718075020623683,-0.006543227708618824,0.0006585794529611925,0.35401299329810565,0.0
0.25,hover,0.0,0.0,0.0,0.0,-0.0009104805970123755,8.252839148354887e-05,0.2955194111496278,-0.0003516894469999522,0.0007701409607479337,-0.00011826003853548842,-0.006571406457786623,0.0006646450680554215,0.35326276449260346,0.0
0.252,hover,0.0,0.0,0.0,0.0,-0.0009236785462892238,8.386955712899742e-05,0.29622443876780463,-0.0003498340040501143,0.0007945474308313868,-0.00011945519218033122,-0.00659897463842415,0.0006705828227242718,0.35251380908840757,0.0
0.254,hover,0.0,0.0,0.0,0.0,-0.000936930524609288,8.52227570743149e-05,0.2969279710011456,-0.00034793361782793587,0.0008189995827386987,-0.00012050550196306276,-0.006625989160032113,0.0006765999726587472,0.35176611667047764,0.0
0.256,hover,0.0,0.0,0.0,0.0,-0.0009502353116685869,8.658773703958497e-05,0.29763000988882954,-0.00034599070463568293,0.0008434978634210877,-0.00012166745731457003,-0.006652393529649471,0.000682489982635033,0.3510194438419679,0.0
0.258,hover,0.0,0.0,0.0,0.0,-0.0009635917969826781,8.796464648715568e-05,0.2983305578399785,-0.0003440042543506446,0.0008680328351623157,-0.00012268851138665647,-0.006678242657045564,0.0006884547237853598,0.3502739755744853,0.0
0.26,hover,0.0,0.0,0.0,0.0,-0.0009769987561525403,8.935323340081808e-05,0.299029617001835,-0.0003419766075169338,0.0008926049949605279,-0.00012381691459419878,-0.006703479584931111,0.0006942934568312021,0.34952958092822406,0.0
0.262,hover,0.0,0.0,0.0,0.0,-0.0009904550753847287,9.075363805141035e-05,0.2997271898797681,-0.00033990681965918786,0.0009172051523914141,-0.00012480850648917568,-0.006728159616094275,0.000700202325296136,0.34878643896653405,0.0
0.264,hover,0.0,0.0,0.0,0.0,-0.001003959530661848,9.216561095145998e-05,0.3004232786469308,-0.0003377971534343566,0.0009418337384422003,-0.00012590306728292323,-0.006752227638559597,0.0007059864500248168,0.3480443835813543,0.0
0.266,hover,0.0,0.0,0.0,0.0,-0.0010175110027155479,9.358928297231256e-05,0.3011178857582768,-0.0003356467283100627,0.0009664819040403058,-0.0001268649984735615,-0.006775736026849961,0.0007118360104262897,0.3473035556729972,0.0
0.268,hover,0.0,0.0,0.0,0.0,-0.0010311082719570374,9.502440730912075e-05,0.3018110133316611,-0.00033345772657980945,0.0009911499181418709,-0.0001279254791485291,-0.0067986346207447226,0.000717562168404094,0.3465637866921566,0.0
0.27,hover,0.0,0.0,0.0,0.0,-0.0010447502163500348,9.64711053763586e-05,0.302502663762538,-0.0003312293314585365,0.0010158292174529163,-0.0001288575940256147,-0.006820972196498743,0.0007233490336189252,0.34582521543843187,0.0
0.272,hover,0.0,0.0,0.0,0.0,-0.001058435617745517,9.792913332675205e-05,0.3031928391351914,-0.0003289636450468549,0.001040520015368984,-0.0001298837892396606,-0.006842700697741148,0.000729013975196723,0.34508768632672226,0.0
0.274,hover,0.0,0.0,0.0,0.0,-0.0010721633539598297,9.939860307284286e-05,0.3038815418053404,-0.0003266599149574375,0.0010652139721315193,-0.0001307859761967214,-0.006863868107156288,0.000734734873045399,0.3443513350744777,0.0
0.276,hover,0.0,0.0,0.0,0.0,-0.001085932206231455,0.00010087927401317701,0.3045687738315207,-0.0003243201630509661,0.0010899113183408331,-0.00013177771145034958,-0.006884426135812649,0.0007403354701670789,0.34361601309014983,0.0
0.278,hover,0.0,0.0,0.0,0.0,-0.0010997410512437527,0.00010237124848038557,0.30525453752878196,-0.0003219437017670647,0.0011146039843040645,-0.00013264989244765835,-0.0069044225061488645,0.0007459872336042793,0.3428818486306189,0.0
0.28,hover,0.0,0.0,0.0,0.0,-0.001113588673139556,0.00010387428939702109,0.3059388349261328,-0.0003195324722157662,0.0011392921283153415,-0.0001336070214961442,-0.006923810947901663,0.0007515204583177585,0.34214869867540104,0.0
0.28200000000000003,hover,0.0,0.0,0.0,0.0,-0.001127473947931281,0.00010538848941795887,0.3066216682937579,-0.00031708585183677266,0.0011639679591309046,-0.00013444914988214028,-0.006942637395862505,0.0007571000104688883,0.3414166838125613,0.0
0.28400000000000003,hover,0.0,0.0,0.0,0.0,-0.0011413956634158814,0.00010691361528095704,0.3073030396275418,-0.0003146057006580421,0.0011886315571110722,-0.0001353715536924661,-0.006960857742300222,0.0007625629314990897,0.3406856668919349,0.0
0.28600000000000003,hover,0.0,0.0,0.0,0.0,-0.0011553526935892651,0.00010844974985632416,0.3079829511490692,-0.0003120914613231661,0.0012132754726067443,-0.00013618361350312318,-0.006978515086691895,0.0007680672876835632,0.33995576076369627,0.0
